Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Label
2000-01-03,-0.6124,0.0,0.0,0.0,-0.2263,0.4019,0.5574,0.4404,0.0,-0.7096,0.6705,0.6369,0.0,0.0,0.128,-0.6808,-0.6369,-0.25,0.0,0.0,-0.5106,-0.296,0.0,0.0,0.0,0
2000-01-04,0.0,0.6369,0.0,0.296,0.0,-0.6705,-0.6705,-0.6705,-0.7184,-0.6705,0.0,0.6124,0.0,-0.5574,0.0,-0.3182,0.0,0.3818,0.0,0.0,0.0,-0.8074,0.0,0.0,-0.4215,0
2000-01-05,0.0,0.0,0.1027,0.4019,0.0,0.0,0.0,0.0,-0.5719,-0.3612,0.0,-0.0516,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267,0.0,0.4404,0
2000-01-06,0.4215,-0.5574,-0.2023,0.0,0.4215,0.0,0.2023,-0.8625,-0.5574,0.5574,0.0,0.4019,-0.7269,0.0,0.0,0.296,-0.6249,-0.1027,0.0,0.0,0.1027,0.5719,-0.2023,-0.5106,0.5859,1
2000-01-07,0.0,0.5719,-0.6597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6486,-0.743,0.0,-0.2716,0.0,0.0,0.0,0.0,0.0,0.25,-0.2263,-0.4019,0.0,0.0,0.0,1
2000-01-10,0.0,-0.7269,0.0,0.0,0.0,-0.0258,0.5267,0.0,0.0,0.0,-0.2023,-0.4939,0.4215,0.0,0.4215,0.0,0.0,-0.5994,-0.296,0.0,-0.7184,-0.68,0.0,-0.5423,-0.2263,1
2000-01-11,0.0,0.0,0.2263,0.0,0.4215,-0.4019,0.0,0.0,0.0,0.0,-0.3089,0.0,0.4019,0.0,-0.2732,0.3612,0.1779,0.0,0.4767,0.4404,0.2732,-0.296,-0.5893,0.2732,0.0,1
2000-01-12,0.4404,0.0,0.0,-0.1779,0.0,0.0,0.0,0.2023,0.0772,0.0,0.0,0.0,0.0,0.5859,0.0,0.0,0.0,0.4588,-0.34,0.0,0.4404,-0.296,0.0,0.2584,0.0,0
2000-01-13,0.0,-0.6486,0.4215,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5859,-0.4215,0.1027,0.0,-0.3612,0.0,-0.2732,-0.4201,-0.1779,0.0,-0.1027,0.0,0.0,-0.3182,-0.3182,1
2000-01-14,0.0,-0.34,0.0,0.0,0.0,0.2732,-0.34,-0.6124,-0.1406,-0.4019,0.0,0.0,0.1386,-0.5423,-0.4767,0.0,-0.296,-0.3182,0.4215,0.6369,-0.8555,0.0,0.0,0.0,0.0,1
2000-01-18,-0.4019,0.0,0.0258,0.0,0.0,0.0,0.4019,0.6369,0.3612,-0.6486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4939,0.0,-0.4215,0.0,0.0,-0.296,1
